name_en,name_ar
Abdullah,عبدالله
Abdulkarim,عبدالكريم
Abdulhamid,عبدالحميد
Abdulellah,عبدالله
Abdulaziz,عبدالعزيز
Abbas,عباس
Abdulrahman,عبدالرحمن
Abdulmohsin,عبدالمحسن
Abdulmalik,عبدالملك
Abdulmalek,عبدالملك
Adel,عادل
Adeel,عديل
Ahmed,أحمد
Alawi,علوي
Alanood,العنود
Alaa,علاء
Ali,علي
Anayat,أنايات
Amr,عمرو
Ammar,عمار
Amin,امين
Aljawharah,الجوهرة
Ayman,أيمن
Awatef,عواطف
Atheep,عذيب
Aseel,أصيل
Aqeel,عقيل
Bandar,بندر
Bader,بدر
Badder,بدر
Aziz,عزيز
Ayoob,أيوب
Bander,بندر
Batool,بتول
Bassam,بسام
Basim,باسم
Basem,باسم
Diaa,ضياء
Dad,أب
Cake,كيك
Eyad,اياد
Essa,عيسى
Fahad,فهد
F.Jassim,ف جاسم
Farrukh,فروخ
Faris,فارس
Farhah,فرحة
Faisal,فيصل
Fetchr,فتشر
Feras,فراس
Fatimah,فاطمة
Fatima,فاطمة
flynas,طيران ناس
Government,حكومة
Ghanimah,غنيمة
Gashgri,الجاشجري
Furat,فرات
Fouad,فؤاد
Hadi,هادي
Habib,حبيب
Haider,حيدر
Hammam,همام
Hamidah,حميده
Hamad,حامد
Hashim,هاشم
Hani,هاني
Hamzah,حمزة
Hassan,حسان
Hassain,حسين
HR,الموارد البشرية
Hussain,حسين
Howra,حوراء
Hossam,حسام
Hisham,هشام
Hussam,حسام
Jaffer,جعفر
Jaffar,جعفر
Ibrahim,ابراهيم
Jawad,جواد
Jamal,جمال
Khalid,خالد
KAUST,كاوست
Kashif,كاشف
Jihad,الجهاد
Jessica,جيسيكا
Luiza,لويزا
Lubna,لبنى
Laylah,ليلى
Mahdi,مهدي
Majed,ماجد
Maher,ماهر
Makky,مكي
Majeed,مجيد
Moatafah,معتفة
Midhat,مدحت
Meshal,مشعل
Mervin,مفيد
Mesfer,ميسفر
Marwan,مروان
Mam,ماما
Malaab,الملعب
Mohammed,محمد
Mofied,موفيد
Moayed,مؤيد
Mohd,محمد
Mohanned,مهند
Mohannad,مهند
Montaz,منتز
Mom,أم
Mojtabah,مجتبية
Muneeb,منيب
Mujahad,مجاهد
Mujtaba,مجتبى
Mousa,موسى
Mouneer,منير
Mostafa,مصطفى
Murtada,مرتضى
Muneer,منير
Musaad,مسعد
Mustafa,مصطفى
Natheer,نذير
Nasser,ناصر
Naif,نايف
N.Um,ن
Nawal,نوال
Omar,عمر
Obaid,عبيد
Noriah,نورية
Norah,نورا
Rachel,راشيل
Qusai,قصي
Ossama,أسامة
Radhi,راضي
Rawan,روان
Ridha,رضا
Rashid,راشد
Raouf,رؤوف
Raed,رائد
Saeed,سعيد
Sada,صدى
Sadiq,صادق
Rufaiddah,رفيدة
Rudresh,رودريش
Sajjad,سجاد
Saleh,صالح
Salem,سالم
Salah,صلاح
Shafaqaad,شفقاد
Saudi,سعودي
Sarah,ساره
Salman,سلمان
Samar,سمر
Salih,صالح
Sally,سالي
Shakh,الشيخ
Sultan,سلطان
Special,خاص
Sulman,سليمان
Shiekhah,شيخة
Shehab,شهاب
Shakir,شاكر
Tareq,طارق
Taherah,طاهرة
Taher,طاهر
Swedish,السويدية
Syed,سيد
Waqas,وقاص
Wafi,وافي
Waleed,وليد
Wael,وائل
Turkey,ديك رومى
YLP,YLP
Yazeed,يزيد
Yasser,ياسر
Yaqub,يعقوب
Yasir,ياسر
Yahia,يحيى
Zahra,زهرة
Yousef,يوسف
الخميس,الخميس
Zuhair,زهير
Zainab,زينب
Zainab's,زينب
ام,ام
عبدالله,عبدالله
عمتي,عمتي
عمار,عمار
شعبيات,شعبيات
ملاحظات,ملاحظات
مطعم,مطعم
محمد,محمد
غازي,غازي
مهدي,مهدي
